"","datetime","city","country","shape"
"1378",2020-10-13,"wichita","us","unknown"
"38302",2020-03-03,"monrovia","us",NA
"31240",2020-02-22,"chico","us","light"
"80527",2020-08-09,"battle ground","us","fireball"
"26959",2020-01-03,"union city","us","cigar"
"6242",2019-10-31,"riverdale","us","other"
"38283",2020-03-03,"bakersfield","us","circle"
"7791",2020-10-08,"arthur","us","light"
"10139",2020-11-14,"north hollywood","us","fireball"
"10550",2020-11-15,"utah (just off i-70)",NA,"fireball"
"14312",2020-11-25,"tampa","us","triangle"
"65599",2020-07-22,"stover","us","other"
"72820",2020-08-13,"orcas island",NA,"flash"
"39235",2020-03-08,"poughkeepsie","us","triangle"
"7899",2020-10-08,"binghamton","us","unknown"
"25470",2020-01-26,"osprey","us","circle"
"30864",2019-02-02,"eastport","us",NA
"2362",2020-10-15,"thompson (canada)","ca",NA
"71341",2020-08-10,"madison","us","other"
"24198",2020-12-31,"fairbanks","us","light"
"88867",2020-09-09,"woodstock","us","sphere"
"84814",2020-09-02,"minneapolis","us",NA
"45931",2020-05-11,"port st. lucie",NA,"cylinder"
"66289",2020-07-25,"shirley","us","formation"
"62623",2020-07-14,"rancho cucamonga","us","light"
"1748",2020-10-14,"barbourville","us","oval"
"70328",2019-07-07,"las cruces","us","changing"
"71091",2020-07-09,"buckeye","us","light"
"78856",2020-08-03,"osage beach","us","fireball"
"12293",2020-01-01,"antioch","us","light"
"49971",2020-05-30,"des moines","us","sphere"
"51584",2019-06-10,"waterbury","us","circle"
"31681",2020-02-25,"oceanside","us","disk"
"80701",2020-09-10,"alamosa (madano pass)","us","unknown"
"85433",2020-09-23,"beckley","us","triangle"
"48616",2020-05-22,"salt lake city","us","other"
"50012",2020-05-30,"elliot lake (canada)","ca","oval"
"88869",2020-09-09,"boise","us","circle"
"82705",2019-09-15,"farrell","us","disk"
"83957",2020-09-19,"north huntingdon",NA,"light"
"71218",2020-08-10,"zwevegem (belgium)",NA,"unknown"
"40750",2020-04-14,"whitby (canada)","ca","light"
"2150",2019-10-15,"enterprise","us","triangle"
"9357",2020-11-01,"redding","us","sphere"
"810",2020-10-01,"albuquerque","us","oval"
"76822",2020-08-24,"new york city (brooklyn)","us","triangle"
"49305",2020-05-26,"olean","us","teardrop"
"88053",2020-09-06,"coronado","us","cigar"
"57491",2020-06-25,"mumbai (india)",NA,"circle"
"39042",2020-03-07,"london (uk/england)","gb","circle"
"11934",2020-11-19,"laguna niguel","us","rectangle"
"85615",2020-09-24,"new york city (brooklyn)","us","sphere"
"79984",2020-08-07,"woodbury","us","triangle"
"81691",2020-09-01,"everett","us","light"
"72951",2020-08-13,"carmichael","us","circle"
"53970",2019-06-15,"houston","us","disk"
"24164",2020-12-31,"portland","us","fireball"
"78214",2020-08-30,"montebello","us","fireball"
"27956",2019-01-08,"wasilla","us","flash"
