"","datetime","city","state","country","shape","DurationSeconds","DurationHrsMins","comments","DatePosted","latitude","longitude","X"
"58963",2020-06-30,"lincolnshire (uk/england)",NA,"gb","disk","1200","20 minutes","1 craft seen caught our attention made us go out to see&#44 brought back 6 (7 all together)","2/18/2013",53,-0.25,NA
"33416",2020-02-09,"london (uk/england)",NA,"gb","disk","0","photo caught image","sighting above millenium dome","7/16/2006",51,-0.093689,NA
"74185",2020-08-16,"hemel hempstead (uk/england)",NA,"gb","disk","180","3minutes","the craft was large&#44golden in color&#44sphere shaped &#44travelling fast........","08/05/2001",51,-0.466667,NA
"61106",2020-07-11,"gosport (uk/england)",NA,"gb","disk","180","3 mins","Metalic Disk about 60ft in diameter&#44 Hovering over sea at about 500 ft altitude&#44 no sound moved from left to right slowly then climed v","7/25/2004",50,-1.133333,NA
"64474",2019-07-19,"leeds (uk/england)",NA,"gb","disk","14400","3-4hours","When I was 9 I saw a UFO in the sky in 1 place for a few hours","09/02/2005",53,-1.583333,NA
"81393",2020-09-01,"london (uk/england)",NA,"gb","disk","7200","2 hours","The object was disc shaped&#44 very bright&#44 appeared to have portholes&#44 had a flashing light on top. it seemed to hang suspended in the sk","01/05/2011",51,-0.093689,NA
"55074",2020-06-16,"birmingham (uk/england)",NA,"gb","disk","180","3 mins","2min 31 secs video footage of ufo over birmingham uk June 16th 2007","08/07/2007",52,-1.916667,NA
"41360",2020-04-16,"lincoln (uk/england)",NA,"gb","disk","120","2 minutes","Lincolnshire&#44 England","05/12/2009",53,-0.533333,NA
"32841",2020-02-06,"carlisle (uk/england)",NA,"gb","disk","900","15mins","Three dark grey saucers in the air hovering.","08/05/2001",54,-2.933333,NA
"14664",2020-11-27,"dunstable (uk/england)",NA,"gb","disk","600","10 mins","UFO dancing","12/03/2004",51,-0.516667,NA
"65052",2020-07-21,"sheffield (near) (uk/england)",NA,"gb","disk","45","3/4mins","Craft was above my car. It was disc shaped and threw out a hundred speckled lights. It moved away slowly.","7/23/2000",53,-1.5,NA
"50451",2020-05-04,"glasgow (uk/scotland)",NA,"gb","disk","0",NA,"A silver disc&#44 hovered and moved side to side. Faded away at the end.","08/05/2001",55,-4.25,NA
"23089",2020-12-27,"leeds (uk/england)",NA,"gb","disk","6","6 sec&#39s","Sausage shape&#44 bright white&#44 traveling east to west.","01/03/2001",53,-1.583333,NA
"48836",2020-05-23,"petersfield (uk/england)",NA,"gb","disk","0",NA,"This was taken in my back garden with a 30 shot in 5 seconds burst. 2 pictures out of 30 had this object in.","06/12/2007",51,-0.933333,NA
"23905",2020-12-31,"aldershot (uk/england)",NA,"gb","disk","240","3 to 4 minutes","3 Bright Orange Lights&#44 Moving North&#44 North Easterly&#44 Lasting 3 To 4 Minutes","2/14/2008",51,-0.766667,NA
"7664",2020-10-07,"sheffield (uk/england)",NA,"gb","disk","180","3 minutes","a small flat disked shape&#44 orange coloured&#44 with orange rays coming off&#44 moved further in the sky at late evening.","10/31/2008",53,-1.5,NA
"14321",2020-11-25,"norwich (norfold) (uk/england)",NA,"gb","disk","90","1.3","the 3 discs travelled in a circle and turned to sparks","12/07/2006",52,1.3,NA
"47169",2020-05-15,"northallerton (uk/england)",NA,"gb","disk","30","about 30 seconds","Myself and my sister saw a saucer shaped object in Norththern England","10/07/2003",54,-1.433333,NA
"34016",2020-03-01,"leeds (uk/england)",NA,"gb","disk","2","few seconds","A UFO mistaken for an aeroplane&#44 caught on camera.","03/06/2001",53,-1.583333,NA
"57664",2020-06-26,"airdrie (uk/scotland)",NA,"gb","disk","0","0","PHOTO OF UFO","07/01/2002",55,-3.983333,NA
"87785",2020-09-05,"derby (uk/england)",NA,"gb","disk","2700","45min+","6 discs at  huge altitude.Coordinated movements.Instant stop start.  ((NUFORC Note:  Possible hoax&#44 we believe.  PD))","5/24/2005",53,-1.583333,NA
"67319",2020-07-29,"zennor (cornwall) (uk/england)",NA,"gb","disk","0","not known","UFO over Zennor&#44 Conwall&#44 a blue coloured saucer shape captured on still photo","8/24/2004",50,-5.566667,NA
"75448",2020-08-20,"wakefield (uk/england)",NA,"gb","disk","300","5 mins","silver disc very high up in the sky west yorkshire england","10/11/2005",53,-1.483333,NA
"72448",2020-08-12,"pontefract (uk/england)",NA,"gb","disk","40","40 seconds","Last night at 8.30pm I filmed a UFO with my camcorder.The footage I got was very clear.A saucer shaped object moving slowly.It was","8/16/2002",53,-1.3,NA
"33567",2020-03-10,"great yarmouth (uk/england)",NA,"gb","disk","30","30 seconds","Disc/Saucer shaped object seen in early morning night sky over Great  Yarmouth&#44 England","10/27/2004",52,1.75,NA
"34970",2019-03-15,"hertfordshire (uk/england)",NA,"gb","disk","30","30secs","fiery disc object seen moving across sky.moving away then returning&#44 then moving away at high speed","08/05/2001",51,-0.25,NA
"43908",2020-04-28,"liverpool (kirkdale) (uk/england)",NA,"gb","disk","5","5 sec","VERY VISIBLE&#33","05/02/2011",53,-3,NA
"47218",2020-05-15,"london (uk/london)",NA,"gb","disk","240","4mins","I have this craft on tape IF YOU WISH TO HAVE A COPY OF IT","10/11/2005",51,-0.093689,NA
"35792",2020-03-18,"hertford (uk/england)",NA,"gb","disk","180","2 times 3 minutes","Red glowing pulsing sphere stopping in flight and hovering over Hertford&#44 England","5/13/2012",51,-0.066667,NA
"88014",2020-09-06,"manchester (uk/england)",NA,"gb","disk","120","2 minutes","It lasted 2 mins&#44 disc shaped objects&#44 flashing lights&#44 dissapeared.","09/12/2003",53,-2.216667,NA
"12774",2019-11-20,"launceston (uk/england)",NA,"gb","disk","600","10 mins","saurcer with 7 lights","2/18/2001",50,-4.364444,NA
"54292",2019-06-15,"reading (uk/england)",NA,"gb","disk","60","1 minute","Bright silver disc flying alongside Concorde&#44 before flying off at extreme speed","3/21/2003",51,-1,NA
"28928",2020-02-12,"glasgow (uk/scotland)",NA,"gb","disk","180","3 mins","weirdest thing we have ever seen certainly not an aircraft","03/06/2001",55,-4.25,NA
"22",2019-10-10,"cardiff (uk/wales)",NA,"gb","disk","1200","20 minutes","back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca","02/01/2007",51,-3.2,NA
"29717",2020-02-15,"stafford (uk/england)",NA,"gb","disk","145","2 mins 25 secs","Same 3 ufo&#39s appear again and may have been experimenting on local animals. 500 Lights On Object0: Yes","3/19/2009",52,-2,NA
"64451",2019-07-19,"edinburgh (uk/scotland)",NA,"gb","disk","180","2-3mins","Huge craft appeared slowly in the west&#44it looked to be very large for something that was at least two miles away(approx)it travelled ve","11/23/1999",55,-3.083333,NA
"31505",2020-02-24,"paisley (uk/scotland)",NA,"gb","disk","0",NA,"Several nights in a row&#44 unsual hovering lights in the sky&#44 flashing red&#44 white&#44 blue flashing on a wide object in the sky.","03/02/2004",55,-4.433333,NA
"6913",2020-10-04,"london (uk/england)",NA,"gb","disk","30","30 sec","Transparent disk leaves nuclear plant","10/12/2001",51,-0.093689,NA
"26097",2020-12-08,"blackpool (uk/england)",NA,"gb","disk","420","about 7 mins","=Ufo over train station/ makes a powercut/lasts 7 mins/makes air raid siren noise/ turns into water=","2/24/2007",53,-3.05,NA
"60378",2020-06-08,"shropshire (uk/england)",NA,"gb","disk","120","2mins","((HOAX??))  round","4/27/2007",52,-2.75,NA
"3843",2020-10-21,"hereford (uk/england)",NA,"gb","disk","900","15 minutes","moving lights spotted above hereford in england","11/28/2007",52,-2.716667,NA
"10277",2019-11-15,"cardiff (uk/wales)",NA,"gb","disk","300","5 mins","This happened in november 1962. It was a large round saucer with revolving lights in the middle.","06/12/2008",51,-3.2,NA
"56753",2020-06-22,"kettering (uk/england)",NA,"gb","disk","20","10 - 20 secs","Transparent or Camouflauged Craft which I spot on a clear day.","07/06/2010",52,-0.716667,NA
"45090",2020-04-07,"eynsham (uk/england)",NA,"gb","disk","120","2minutes","1 landed and abducted the dog","08/05/2001",51,-1.383333,NA
"46572",2019-05-13,"london (uk/england)",NA,"gb","disk","120","2 mins","silver disc sighted on Waterloo Bridge&#44 London&#44 England in 1983","6/20/2005",51,-0.093689,NA
"56433",2019-06-02,"wiltshire (uk/england)",NA,"gb","disk","3600","1 hour","Close Encounter With Three Disc Craft&#44 February 1986","10/20/2005",51,-1.916667,NA
"86747",2020-09-29,"craigavon (uk/northern ireland)",NA,"gb","disk","120","2 min","A large round saucer with lights all around it.  A large lazer beam shot into the clouds and the craft followed the beam into the cloud","10/12/2001",54,-6.416667,NA
"12295",2020-01-01,"ellesmere port (uk/england)",NA,"gb","disk","120","2 minutes","saucer shape craft with orange light","1/21/2008",53,-2.9,NA
"74779",2020-08-18,"polegate (uk/england)",NA,"gb","disk","600","10 minutes","objects appear most nghts when the sky is clear","10/30/2006",50,0.233333,NA
"85392",2020-09-23,"swindon (uk/england)",NA,"gb","disk","4","3 - 4 secs","One thing before I start I must tell you that I am unsure of the date I saw the craft or object but I am sure it was late september ear","03/04/2003",51,-1.783333,NA
"81075",2020-09-11,"south yorkshire (uk/england)",NA,"gb","disk","10","5-10 seconds","3 lights synchrnized darting and changing direction moving as quick as a meteor","11/21/2010",53,-1.25,NA
"44887",2019-04-06,"st. helens (uk/england)",NA,"gb","disk","360","6 mins","Saucer shaped craft&#44 stationary in sky at night&#44 white visible silhouette no surface detail","03/04/2003",53,-2.733333,NA
"25512",2020-01-26,"basingstoke (uk/england)",NA,"gb","disk","30","30 secs","ufo basingstoke u.k.","2/14/2008",51,-1.083333,NA
"32385",2020-02-03,"reading (uk/england)",NA,"gb","disk","180","2-3 mins","ufo in reading(uk)  500 Lights On Object0: Yes","2/24/2007",51,-1,NA
"63337",2020-07-15,"sheffield (uk/england)",NA,"gb","disk","30","<30 seconds","Help i saw this and now i have told my story i need to know if you have seen this.","10/08/2007",53,-1.5,NA
"50677",2020-05-05,"sheffield (uk/england)",NA,"gb","disk","0","15","we were out in the woods walking our dog when my brother started talkin about the stars. so we were all looking and we saw this shootin","05/09/2003",53,-1.5,NA
"27009",2020-01-03,"rainham (uk/england)",NA,"gb","disk","40","40 secs","disk shaped craft with intense bright white lights travelling northwest.","2/14/2006",51,0.6,NA
"66202",2019-07-25,"sutton (uk/england)",NA,"gb","disk","7200","2 hours","I have remembered this siteing every day since it equrred.The photo that someone took of the object was in the Paper.","8/20/2001",53,-2.933333,NA
"58814",2019-06-30,"gateshead (uk/england)",NA,"gb","disk","600","10 minutes","2 flat discs flying in zigzagged patterns.","3/19/2009",54,-1.6175,NA
"27353",2019-01-05,"folkestone (uk/england)",NA,"gb","disk","3600","1 hour?","Saucer shaped object&#44 flying slowly and silently&#44 with coloured lights moved towards the bright light. I signalled to it&#44","05/11/2005",51,1.183333,NA
"39618",2020-04-10,"fleetwood (uk/england)",NA,"gb","disk","30","around 30 seconds","Ok &#44 something weird has just happened like five minutes ago...I opened my curtains and looked outside and I saw a kind of black di","5/15/2006",53,-3,NA
"18896",2020-12-10,"bristol (uk/england)",NA,"gb","disk","900","15 minutes","UFO sighting in bristol bright lights hovering still and cricling the sky before landing.","12/12/2013",51,-2.583333,NA
"48730",2020-05-22,"swansea (uk/england)",NA,"gb","disk","60","1min","Disk shaped craft seen moving silently from south west to the south east reflecting sunlight from the top of the craft.","5/29/2012",51,-3.966667,NA
"2404",2020-10-15,"hull (uk/england)",NA,"gb","disk","420","7 mins","2 orangey red discs similar to other reports from the time.","3/19/2009",53,-0.333333,NA
"52915",2019-06-01,"liverpool (uk/england)",NA,"gb","disk","600","10minutes","My name is Wayne.  I am 43 years of age.  This event took place in 1997.  It has haunted me ever since.  My son was 9 years of age at t","5/15/2006",53,-3,NA
